datetime,sarima_forecast
2020-01-01,1217.594219630089
2020-01-02,1263.666981949348
2020-01-03,1274.2124132598124
2020-01-04,1202.5690876604558
2020-01-05,1127.882397262283
2020-01-06,1281.9336239494005
2020-01-07,1284.5665240370995
2020-01-08,1292.1626034666758
2020-01-09,1299.8996706467713
2020-01-10,1294.9066734505022
2020-01-11,1215.5070900849228
2020-01-12,1133.4803191375654
2020-01-13,1287.489605671772
2020-01-14,1296.381716429447
2020-01-15,1300.4868017774143
2020-01-16,1304.4545144021672
2020-01-17,1297.7928131570343
2020-01-18,1217.5162814682756
2020-01-19,1134.7495483234586
2020-01-20,1288.66160271291
2020-01-21,1297.9950153004124
2020-01-22,1301.7886264798578
2020-01-23,1305.4362600781524
2020-01-24,1298.6296425317582
2020-01-25,1218.2760340523923
2020-01-26,1135.446049558076
2020-01-27,1289.3477217705029
2020-01-28,1298.714632633399
2020-01-29,1302.4825200896453
2020-01-30,1306.1041276633005
2020-01-31,1299.2856417688772
2020-02-01,1218.9256970935744
2020-02-02,1136.090558540214
2020-02-03,1289.9913303764042
2020-02-04,1299.3608599401264
2020-02-05,1303.126674945315
2020-02-06,1306.746196811543
2020-02-07,1299.926757448848
2020-02-08,1219.5663030907936
2020-02-09,1136.7307511907175
2020-02-10,1290.6314493202385
2020-02-11,1300.001185843805
2020-02-12,1303.7668352936153
2020-02-13,1307.3861908547242
2020-02-14,1300.5666754009278
2020-02-15,1220.2061803496738
2020-02-16,1137.3705954826364
2020-02-17,1291.271287691665
2020-02-18,1300.6410406360405
2020-02-19,1304.406676900023
2020-02-20,1308.0260192242797
2020-02-21,1301.2064977122543
2020-02-22,1220.8459994205732
2020-02-23,1138.0104119293312
2020-02-24,1291.9111036659026
2020-02-25,1301.2808579149848
2020-02-26,1305.046493129875
2020-02-27,1308.6658344012244
2020-02-28,1301.8463124072534
2020-02-29,1221.4858138577747
2020-03-01,1138.6502261577873
2020-03-02,1292.5509178567431
2020-03-03,1301.9206722095419
2020-03-04,1305.6863073409952
2020-03-05,1309.3056485286113
2020-03-06,1302.4861264963117
2020-03-07,1222.1256279263303
2020-03-08,1139.290040209742
2020-03-09,1293.1907319057054
2020-03-10,1302.5604862667506
2020-03-11,1306.3261213915687
2020-03-12,1309.9454625725264
2020-03-13,1303.1259405371788
2020-03-14,1222.7654419655669
2020-03-15,1139.9298542476583
2020-03-16,1293.8305459433836
2020-03-17,1303.2003003050847
2020-03-18,1306.9659354293753
2020-03-19,1310.5852766098035
2020-03-20,1303.7657545742136
2020-03-21,1223.405256002472
2020-03-22,1140.5696682844584
2020-03-23,1294.470359980165
2020-03-24,1303.840114341918
2020-03-25,1307.6057494661666
2020-03-26,1311.2250906465526
2020-03-27,1304.4055686109434
2020-03-28,1224.0450700391916
2020-03-29,1141.2094823211698
2020-03-30,1295.110174016875
2020-03-31,1304.479928378632
2020-04-01,1308.245563502877
2020-04-02,1311.8649046832597
2020-04-03,1305.045382647649
2020-04-04,1224.6848840758962
2020-04-05,1141.8492963578738
2020-04-06,1295.7499880535786
2020-04-07,1305.1197424153358
2020-04-08,1308.885377539581
2020-04-09,1312.5047187199634
2020-04-10,1305.6851966843526
2020-04-11,1225.3246981126
2020-04-12,1142.4891103945774
2020-04-13,1296.3898020902825
2020-04-14,1305.75955645204
2020-04-15,1309.525191576285
2020-04-16,1313.1445327566673
2020-04-17,1306.3250107210565
2020-04-18,1225.9645121493038
2020-04-19,1143.1289244312813
2020-04-20,1297.0296161269862
2020-04-21,1306.3993704887437
2020-04-22,1310.1650056129886
2020-04-23,1313.784346793371
2020-04-24,1306.9648247577602
2020-04-25,1226.6043261860075
2020-04-26,1143.768738467985
2020-04-27,1297.6694301636899
2020-04-28,1307.0391845254474
2020-04-29,1310.8048196496923
2020-04-30,1314.4241608300747
2020-05-01,1307.6046387944639
2020-05-02,1227.2441402227112
2020-05-03,1144.4085525046887
2020-05-04,1298.3092442003936
2020-05-05,1307.678998562151
2020-05-06,1311.444633686396
2020-05-07,1315.0639748667784
2020-05-08,1308.2444528311676
2020-05-09,1227.8839542594148
2020-05-10,1145.0483665413924
2020-05-11,1298.9490582370972
2020-05-12,1308.3188125988547
2020-05-13,1312.0844477230996
2020-05-14,1315.703788903482
2020-05-15,1308.8842668678712
2020-05-16,1228.5237682961185
2020-05-17,1145.688180578096
2020-05-18,1299.588872273801
2020-05-19,1308.9586266355584
2020-05-20,1312.7242617598033
2020-05-21,1316.3436029401857
2020-05-22,1309.524080904575
2020-05-23,1229.1635823328222
2020-05-24,1146.3279946147998
2020-05-25,1300.2286863105046
2020-05-26,1309.598440672262
2020-05-27,1313.364075796507
2020-05-28,1316.9834169768894
2020-05-29,1310.1638949412786
2020-05-30,1229.803396369526
2020-05-31,1146.9678086515034
2020-06-01,1300.8685003472083
2020-06-02,1310.2382547089658
2020-06-03,1314.0038898332107
2020-06-04,1317.623231013593
2020-06-05,1310.8037089779823
2020-06-06,1230.4432104062296
2020-06-07,1147.6076226882071
2020-06-08,1301.508314383912
2020-06-09,1310.8780687456695
